PID,Number of flights(layovers),Flights
331,0,
686,0,
1369,0,
2835,0,
3111,0,
3380,0,
3794,0,
4601,0,
4684,0,
4899,0,
5349,0,
6686,0,
6780,0,
6851,0,
7217,0,
7264,0,
7351,0,
8021,0,
9513,0,
9717,0,
9895,0,
10368,0,
11378,0,
12405,0,
12734,0,
12947,0,
13685,0,
15106,0,
15287,0,
16148,0,
16154,0,
16187,0,
16219,0,
16497,0,
16894,0,
17149,0,
17454,0,
18253,0,
18957,0,
19171,0,
20534,0,
21103,0,
21768,0,
22818,0,
23119,0,
23876,0,
24309,0,
24442,0,
25177,0,
25601,0,
26044,0,
26172,0,
26491,0,
26566,0,
26835,0,
26862,0,
27136,0,
27487,0,
27811,0,
27854,0,
28022,0,
28840,0,
29062,0,
29591,0,
29799,0,
30300,0,
31969,0,
32680,0,
33559,0,
34906,0,
35951,0,
36055,0,
36510,0,
37676,0,
398,3,"[333, 144, 90]"
1208,3,"[333, 144, 90]"
1271,3,"[333, 144, 90]"
1668,3,"[333, 144, 90]"
2776,3,"[333, 144, 90]"
3263,3,"[333, 144, 90]"
3314,3,"[333, 144, 90]"
3687,3,"[333, 144, 90]"
4645,3,"[333, 144, 90]"
4737,3,"[333, 144, 90]"
4740,3,"[333, 144, 90]"
5307,3,"[333, 144, 90]"
5312,3,"[333, 144, 90]"
7118,3,"[333, 144, 90]"
7247,3,"[333, 144, 90]"
7980,3,"[333, 144, 90]"
8387,3,"[333, 144, 90]"
8820,3,"[395, 229, 315]"
8837,3,"[395, 269, 315]"
9407,3,"[395, 269, 315]"
10786,3,"[395, 269, 315]"
10810,3,"[395, 269, 315]"
10853,3,"[395, 269, 315]"
10901,3,"[395, 269, 315]"
11645,3,"[395, 269, 315]"
11759,3,"[372, 236, 363]"
11990,3,"[372, 236, 363]"
12280,3,"[372, 236, 363]"
12899,3,"[372, 236, 363]"
13002,3,"[372, 236, 363]"
13151,3,"[372, 236, 363]"
13275,3,"[372, 236, 363]"
13984,3,"[372, 236, 363]"
14434,3,"[372, 236, 363]"
15341,3,"[372, 236, 363]"
16116,3,"[372, 236, 363]"
16513,3,"[372, 236, 363]"
16934,3,"[372, 236, 363]"
18196,3,"[372, 236, 363]"
18260,3,"[372, 236, 363]"
18800,3,"[372, 236, 363]"
18970,3,"[372, 236, 363]"
19291,3,"[372, 236, 363]"
19312,0,
19328,0,
19494,0,
19667,0,
19803,0,
20086,0,
21500,0,
21716,0,
21984,0,
